Gene_enc,drug_name_pgx_enc,atc_level2_clean_enc,atc_level4_clean_enc,Significance_enc,pmid_n,is_rsid,is_starallele,has_copy_number,variant_len,sentence_len_w,notes_len_w,y_primary,y_toxicity,y_efficacy,y_metabolism,y_dosage,y_other,y_pd
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
428,95,18,33,4,1,1,0,0,9,22,46,0,0,1,0,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
247,32,13,23,3,1,0,1,0,10,9,46,0,0,0,1,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
40,55,13,23,2,1,1,0,0,9,16,40,0,0,0,0,0,0,1
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
29,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
244,30,1,2,0,1,1,0,0,9,7,6,0,0,1,0,0,0,0
419,18,3,4,2,1,0,0,0,26,26,15,0,0,1,0,0,0,0
55,53,13,23,4,1,1,0,0,5,17,34,0,0,0,1,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
244,11,1,2,2,1,0,1,0,20,17,65,1,1,1,0,0,0,0
305,49,18,33,2,1,1,0,0,9,28,15,0,0,1,0,0,0,0
244,35,5,8,4,1,1,0,0,9,23,1,0,0,1,0,0,0,0
58,52,5,8,4,0,1,0,0,8,30,44,0,0,1,0,0,0,0
755,116,18,33,3,1,1,0,0,8,20,1,0,0,1,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
29,53,13,23,2,1,1,0,0,9,19,13,0,0,0,1,0,0,0
244,112,14,25,4,1,1,0,0,9,18,11,0,0,0,1,0,1,0
353,95,18,33,4,1,1,0,0,9,16,27,0,0,0,1,0,0,0
276,57,6,11,0,1,1,0,0,23,11,9,1,1,0,0,0,0,0
649,65,13,23,2,1,1,0,0,8,19,27,0,0,0,0,1,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
247,9,18,33,4,1,0,1,0,8,22,126,0,0,1,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
278,65,13,23,2,1,1,0,0,9,15,29,1,1,0,0,0,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
712,124,18,33,2,1,1,0,0,10,19,36,1,1,0,0,0,0,0
556,72,11,19,2,1,1,0,0,9,21,1,0,0,1,0,0,0,0
30,53,13,23,4,1,1,0,0,8,9,80,1,1,0,1,0,0,0
139,152,1,1,4,0,1,0,0,8,9,1,0,0,0,0,1,0,0
44,82,5,8,2,0,1,0,0,6,20,17,0,0,1,0,0,0,0
4,37,18,33,2,1,1,0,0,9,25,38,0,0,1,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
118,35,5,8,2,1,1,0,0,10,11,1,1,1,0,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
209,100,13,23,2,0,1,0,0,9,18,17,0,0,0,0,1,0,0
277,88,13,23,4,1,1,0,0,6,22,51,0,0,1,0,0,0,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
247,32,13,23,0,1,1,0,0,9,7,6,0,0,0,1,0,0,0
242,94,5,7,2,1,1,0,0,9,22,1,1,1,0,1,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
258,63,18,33,2,1,1,0,0,10,17,20,1,1,1,0,0,0,0
181,47,18,33,2,1,1,0,0,11,15,90,0,0,0,0,0,0,1
994,3,11,19,4,1,1,0,0,9,22,7,0,0,1,0,0,0,0
29,53,13,23,4,1,1,0,0,9,8,78,1,1,0,1,0,0,0
278,95,18,33,4,1,1,0,0,9,22,11,0,0,1,0,0,0,0
250,63,18,33,2,1,1,0,0,10,17,20,1,1,1,0,0,0,0
47,147,18,33,2,0,1,0,0,9,15,27,0,0,0,1,0,0,0
435,135,6,12,2,1,0,1,0,14,18,72,0,0,1,0,0,0,0
209,90,13,23,4,0,1,0,0,6,18,107,0,0,1,0,1,0,0
27,88,13,23,4,1,1,0,0,8,23,85,0,0,1,0,0,0,0
36,87,6,9,2,1,1,0,0,9,15,7,1,1,0,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
247,142,13,24,4,1,0,1,0,70,34,73,0,0,0,1,0,0,0
244,151,5,8,4,1,0,1,0,21,17,19,0,0,0,0,1,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
482,104,5,8,2,1,1,0,0,8,17,20,1,1,1,0,0,0,0
242,46,5,7,4,1,1,0,0,9,19,24,0,0,0,1,0,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
387,87,6,9,4,1,1,0,0,9,23,13,0,0,0,1,0,0,0
164,104,5,8,2,1,1,0,0,9,21,18,1,1,1,0,0,0,0
596,152,1,1,4,0,1,0,0,9,22,21,0,0,0,0,1,0,0
311,28,16,30,4,1,1,0,0,10,22,89,0,0,1,0,0,0,0
832,149,16,31,4,1,0,0,0,24,16,30,0,0,1,0,0,0,0
725,56,6,11,3,0,1,0,0,10,21,109,0,0,1,0,0,0,0
278,65,13,23,2,1,1,0,0,10,15,18,1,1,0,0,0,0,0
30,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
478,87,6,9,2,1,1,0,0,9,18,56,0,0,0,0,0,1,0
247,32,13,23,0,1,1,0,0,9,7,6,0,0,0,1,0,0,0
534,80,18,33,2,1,1,0,0,9,19,60,0,0,1,0,0,0,0
253,137,11,20,4,1,1,0,0,7,20,45,0,0,0,1,0,0,0
247,138,10,18,1,1,1,0,0,9,7,6,0,0,1,0,0,0,0
29,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
643,84,6,10,3,1,1,0,0,11,16,100,0,0,0,0,0,1,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
96,87,6,9,4,1,1,0,0,10,15,35,1,1,0,0,0,0,0
453,28,16,30,2,1,1,0,0,9,26,72,0,0,1,0,0,0,0
454,107,16,30,2,1,1,0,0,6,23,4,0,0,1,0,0,0,0
247,107,16,30,2,1,0,1,0,70,18,17,1,1,0,0,0,0,0
247,134,18,33,2,1,0,1,0,19,21,10,0,0,1,0,0,0,0
29,53,13,23,4,1,1,0,0,7,9,80,1,1,0,1,0,0,0
190,21,18,33,4,1,1,0,0,10,25,31,0,0,1,0,0,0,0
31,53,18,33,4,1,1,0,0,9,9,92,1,1,0,1,0,0,0
195,95,18,33,2,1,1,0,0,8,16,13,0,0,0,0,0,1,0
247,58,16,30,2,1,0,0,0,24,15,111,1,1,0,0,0,0,0
247,39,18,33,3,1,0,1,0,49,19,54,0,0,0,1,0,0,0
278,65,13,23,2,1,1,0,0,6,15,29,1,1,0,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
242,20,5,8,2,1,0,0,0,23,26,30,0,0,1,0,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
4,137,11,20,2,1,1,0,0,9,21,11,0,0,0,1,0,0,0
742,30,1,2,2,1,1,0,0,9,20,2,0,0,1,0,0,0,0
244,30,1,2,0,1,1,0,0,9,7,6,0,0,1,0,0,0,0
818,63,18,33,2,1,1,0,0,8,16,21,1,1,1,0,0,0,0
247,10,18,33,4,1,1,0,0,9,22,73,0,0,1,0,0,0,0
10,139,5,8,4,1,1,0,0,9,16,22,1,1,0,0,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
247,41,5,8,3,1,0,1,0,30,21,36,0,0,0,1,0,0,0
278,65,13,23,2,1,1,0,0,9,15,18,1,1,0,0,0,0,0
247,138,10,18,2,1,0,1,0,18,17,46,0,0,0,0,0,1,0
30,53,13,23,4,1,1,0,0,8,8,78,1,1,0,1,0,0,0
247,25,18,33,2,1,0,1,0,8,19,69,0,0,0,1,0,0,0
389,132,5,8,2,0,1,0,0,10,25,28,0,0,1,0,0,0,0
10,139,5,8,4,1,1,0,0,9,16,22,1,1,0,0,0,0,0
247,5,18,33,4,1,1,0,0,9,25,76,0,0,1,0,1,0,0
643,84,6,10,4,1,0,1,0,28,16,99,1,1,0,0,0,0,0
247,32,13,23,0,1,1,0,0,9,7,6,0,0,0,1,0,0,0
957,55,13,23,2,1,1,0,0,9,21,11,0,0,1,0,0,0,0
697,86,17,32,4,0,1,0,0,9,21,25,0,0,0,1,0,0,0
164,104,5,8,2,1,1,0,0,9,21,18,1,1,1,0,0,0,0
77,109,5,8,2,1,1,0,0,9,28,24,0,0,1,0,0,0,0
10,139,5,8,4,1,1,0,0,9,17,24,1,1,0,0,0,0,0
948,15,3,4,4,1,0,1,0,18,20,57,0,0,0,1,0,0,0
